0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:20:43 +0200] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:20:43 +0200] "GET /SmartHomeControlBoard/navbar.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:20:43 +0200] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:20:43 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:20:43 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:12 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 4747
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:12 +0200] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:12 +0200] "GET /SmartHomeControlBoard/navbar.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:12 +0200] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:12 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:12 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:37 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 4747
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:37 +0200] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:37 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:37 +0200] "GET /SmartHomeControlBoard/navbar.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:37 +0200] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:37 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:37 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:37 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:37 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:23:25 +0200] "GET /SmartHomeControlBoard/ HTTP/1.1" 200 4766
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:23:25 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:23:25 +0200] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:23:25 +0200] "GET /SmartHomeControlBoard/navbar.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:23:25 +0200] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
